protein_id	Entry Name (UniProt)
CHEMBL4105940	DGKH_HUMAN
CHEMBL2918	KAPCB_HUMAN
CHEMBL4128	TIE2_HUMAN
CHEMBL2208	MAPK2_HUMAN
CHEMBL4367	TXK_HUMAN
CHEMBL2147	PIM1_HUMAN
CHEMBL5969	PI51A_HUMAN
CHEMBL3905	LYN_HUMAN
CHEMBL3820	HXK4_HUMAN
CHEMBL2426	KC1G1_HUMAN
CHEMBL2251	P4K2A_HUMAN
CHEMBL3861	PDK2_HUMAN
CHEMBL3981	STK10_HUMAN
CHEMBL2041	RET_HUMAN
CHEMBL3267	PK3CG_HUMAN
CHEMBL4523	PIM2_HUMAN
CHEMBL1795185	BRDT_HUMAN
CHEMBL1293289	BRD2_HUMAN
CHEMBL4105942	DGKZ_HUMAN
CHEMBL6083	RIPK4_HUMAN
CHEMBL1163123	M3K6_HUMAN
CHEMBL4879492	FA20C_HUMAN
CHEMBL3032	PKN2_HUMAN
CHEMBL2558	DAPK1_HUMAN
CHEMBL2911	PCKGC_HUMAN
CHEMBL3023	SPHK2_HUMAN
CHEMBL2276	MK08_HUMAN
CHEMBL4523504	GLCNE_HUMAN
CHEMBL5607	GRK1_HUMAN
CHEMBL3009	ERBB4_HUMAN
CHEMBL5808	CD11B_HUMAN
CHEMBL2185	AURKB_HUMAN
CHEMBL2343	SGK1_HUMAN
CHEMBL2959	ITK_HUMAN
CHEMBL3829	KCC2G_HUMAN
CHEMBL5639	WNK2_HUMAN
CHEMBL1772932	BUB1_HUMAN
CHEMBL3407328	PANK3_HUMAN
CHEMBL5701	TAOK3_HUMAN
CHEMBL2850	GSK3A_HUMAN
CHEMBL3987	EPHA5_HUMAN
CHEMBL1628470	TRPM6_HUMAN
CHEMBL5749	M4K1_HUMAN
CHEMBL1075104	LRRK2_HUMAN
CHEMBL1938222	FYV1_HUMAN
CHEMBL5284	KKCC2_HUMAN
CHEMBL5404	TLK2_HUMAN
CHEMBL2109	MP2K3_HUMAN
CHEMBL4225	CLK2_HUMAN
CHEMBL2743	KAPCG_HUMAN
CHEMBL260	MK14_HUMAN
CHEMBL5568	ROS1_HUMAN
CHEMBL4516	MRCKA_HUMAN
CHEMBL5314	TYRO3_HUMAN
CHEMBL203	EGFR_HUMAN
CHEMBL2638	PRPS1_HUMAN
CHEMBL3980	ST17B_HUMAN
CHEMBL5427	HIPK1_HUMAN
CHEMBL2595	KPCD3_HUMAN
CHEMBL4237	KS6A5_HUMAN
CHEMBL1163127	M3K15_HUMAN
CHEMBL4282	AKT1_HUMAN
CHEMBL1868	VGFR1_HUMAN
CHEMBL5719	CDK8_HUMAN
CHEMBL1163125	BRD4_HUMAN
CHEMBL4853	M3K4_HUMAN
CHEMBL1163126	CILK1_HUMAN
CHEMBL4295868	TSSK4_HUMAN
CHEMBL2803	ZAP70_HUMAN
CHEMBL4134	EPHA8_HUMAN
CHEMBL3575	RN5A_HUMAN
CHEMBL3627582	TSSK6_HUMAN
CHEMBL1649059	VRK2_HUMAN
CHEMBL2634	CSK_HUMAN
CHEMBL6005	STK33_HUMAN
CHEMBL5642	ACV1C_HUMAN
CHEMBL5435	ULK2_HUMAN
CHEMBL4105885	ADCK1_HUMAN
CHEMBL2494	KCC4_HUMAN
CHEMBL1981	INSR_HUMAN
CHEMBL3357	IRAK1_HUMAN
CHEMBL5683	DCLK1_HUMAN
CHEMBL3559690	CDK20_HUMAN
CHEMBL1908386	DUSTY_HUMAN
CHEMBL2331053	F263_HUMAN
CHEMBL2417351	MAST4_HUMAN
CHEMBL3831	MARK2_HUMAN
CHEMBL4597	CDK16_HUMAN
CHEMBL3582	KPCE_HUMAN
CHEMBL4523434	PNKP_HUMAN
CHEMBL4179	MK09_HUMAN
CHEMBL2599	KSYK_HUMAN
CHEMBL2973	ROCK2_HUMAN
CHEMBL2793	KC1A_HUMAN
CHEMBL5476	BMR1B_HUMAN
CHEMBL4223	FRK_HUMAN
CHEMBL2688	HXK1_HUMAN
CHEMBL5052	MRCKB_HUMAN
CHEMBL6014	TSSK2_HUMAN
CHEMBL4273	KGP1_HUMAN
CHEMBL5684	MUSK_HUMAN
CHEMBL5776	M3K7_HUMAN
CHEMBL3588730	BAZ1B_HUMAN
CHEMBL1908389	M3K12_HUMAN
CHEMBL5072	EPHB1_HUMAN
CHEMBL308	CDK1_HUMAN
CHEMBL3123	DAPK2_HUMAN
CHEMBL2431	AKT2_HUMAN
CHEMBL3956	M3K1_HUMAN
CHEMBL5026	EF2K_HUMAN
